2016-03-05T00:02:28.2807345Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T00:02:28.2807346Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T00:32:28.7997347Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3375; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T00:32:28.7997348Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T01:02:29.3187349Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3372; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T01:02:29.3187350Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T01:32:29.8377351Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3374; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T01:32:29.8377352Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T02:02:30.3567353Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3375; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T02:02:30.3567354Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T02:32:30.8757355Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3373; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T02:32:30.8757356Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T03:02:31.3957357Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3372; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T03:02:31.3957358Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T03:32:31.9147359Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3374; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T03:32:31.9147360Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T04:02:32.4337361Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3373; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T04:02:32.4337362Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T04:32:32.9527363Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3372; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T04:32:32.9527364Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T05:02:33.4717365Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T05:02:33.4717366Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T05:32:33.9907367Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46400]
2016-03-05T05:32:33.9907368Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T06:02:34.5097369Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T06:02:34.5097370Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T06:32:35.0287371Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T06:32:35.0287372Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T07:02:35.5487373Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46404]
2016-03-05T07:02:35.5487374Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T07:32:36.0677375Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T07:32:36.0677376Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T08:02:36.5867377Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T08:02:36.5867378Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T08:32:37.1057379Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T08:32:37.1057380Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T09:02:37.6247381Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46408]
2016-03-05T09:02:37.6247382Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T09:32:38.1437383Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46408]
2016-03-05T09:32:38.1437384Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T10:02:38.6637385Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30947/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T10:02:38.6637386Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T10:32:39.1827387Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T10:32:39.1827388Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T11:02:39.7017389Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T11:02:39.7017390Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T11:32:40.2207391Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T11:32:40.2207392Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T12:02:40.7397393Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T12:02:40.7397394Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T12:32:41.2587395Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T12:32:41.2587396Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T13:02:41.7777397Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46408]
2016-03-05T13:02:41.7777398Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T13:32:42.2977399Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46408]
2016-03-05T13:32:42.2977400Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T14:02:42.8167401Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T14:02:42.8167402Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T14:32:43.3357403Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T14:32:43.3357404Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T15:02:43.8547405Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T15:02:43.8547406Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T15:32:44.3737407Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T15:32:44.3737408Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T16:02:44.8927409Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T16:02:44.8927410Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T16:32:45.4127411Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T16:32:45.4127412Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-05T17:02:45.9317413Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-05T17:02:45.9317414Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
