2016-03-08T00:03:43.0377633Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3367; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-08T00:03:43.0377634Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-08T00:33:43.5567635Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3358; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-08T00:33:43.5567636Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-08T01:03:44.0757637Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3367; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-08T01:03:44.0757638Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-08T01:33:44.5947639Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-08T01:33:44.5947640Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-08T02:03:45.1137641Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-08T02:03:45.1137642Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-08T02:33:45.6327643Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-08T02:33:45.6327644Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-08T03:03:46.1517645Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-08T03:03:46.1517646Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-08T03:33:46.6717647Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-08T03:33:46.6717648Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-08T04:03:47.1907649Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3367; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-08T04:03:47.1907650Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-08T04:33:47.7097651Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-08T04:33:47.7097652Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
