2016-03-15T00:06:37.4708305Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30922/60.5%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-15T00:06:37.4708306Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-15T00:36:37.9898307Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30922/60.5%"; freeRamMB=3337; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-15T00:36:37.9898308Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-15T01:06:38.5088309Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30922/60.5%"; freeRamMB=3341; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46424]
2016-03-15T01:06:38.5088310Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-15T01:36:39.0278311Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30922/60.5%"; freeRamMB=3342; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-15T01:36:39.0278312Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-15T02:06:39.5468313Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30922/60.5%"; freeRamMB=3342; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-15T02:06:39.5468314Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-15T02:36:40.0658315Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30922/60.5%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-15T02:36:40.0658316Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-15T03:06:40.5858317Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30922/60.5%"; freeRamMB=3341; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-15T03:06:40.5858318Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-15T03:36:41.1048319Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=3; freeC="30922/60.5%"; freeRamMB=3333; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-15T03:36:41.1048320Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
