2016-03-07T00:03:18.1187537Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T00:03:18.1187538Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T00:33:18.6377539Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3358; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T00:33:18.6377540Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T01:03:19.1567541Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3367; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T01:03:19.1567542Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T01:33:19.6757543Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T01:33:19.6757544Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T02:03:20.1947545Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T02:03:20.1947546Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T02:33:20.7137547Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T02:33:20.7137548Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T03:03:21.2327549Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T03:03:21.2327550Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T03:33:21.7527551Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T03:33:21.7527552Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T04:03:22.2717553Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T04:03:22.2717554Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T04:33:22.7907555Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T04:33:22.7907556Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T05:03:23.3097557Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T05:03:23.3097558Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T05:33:23.8287559Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T05:33:23.8287560Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T06:03:24.3477561Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T06:03:24.3477562Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T06:33:24.8677563Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46408]
2016-03-07T06:33:24.8677564Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T07:03:25.3867565Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46408]
2016-03-07T07:03:25.3867566Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T07:33:25.9057567Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-07T07:33:25.9057568Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T08:03:26.4247569Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T08:03:26.4247570Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T08:33:26.9437571Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T08:33:26.9437572Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T09:03:27.4627573Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3367; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T09:03:27.4627574Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T09:33:27.9817575Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T09:33:27.9817576Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T10:03:28.5017577Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T10:03:28.5017578Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T10:33:29.0207579Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46408]
2016-03-07T10:33:29.0207580Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T11:03:29.5397581Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46408]
2016-03-07T11:03:29.5397582Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T11:33:30.0587583Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T11:33:30.0587584Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T12:03:30.5777585Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T12:03:30.5777586Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-07T12:33:31.0967587Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30946/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-07T12:33:31.0967588Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
