2016-03-04T00:02:03.3617249Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30948/60.6%"; freeRamMB=3376; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46364]
2016-03-04T00:02:03.3617250Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-04T00:32:03.8807251Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30948/60.6%"; freeRamMB=3377; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46684]
2016-03-04T00:32:03.8807252Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-04T01:02:04.3997253Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30948/60.6%"; freeRamMB=3374; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46684]
2016-03-04T01:02:04.3997254Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-04T01:32:04.9187255Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30948/60.6%"; freeRamMB=3375; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46688]
2016-03-04T01:32:04.9187256Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-04T02:02:05.4377257Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30948/60.6%"; freeRamMB=3377; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46692]
2016-03-04T02:02:05.4377258Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-04T02:32:05.9567259Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30948/60.6%"; freeRamMB=3375; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46688]
