2016-03-11T00:04:57.7947921Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3341; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-11T00:04:57.7947922Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T00:34:58.3137923Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3338; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-11T00:34:58.3137924Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T01:04:58.8327925Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3341; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-11T01:04:58.8327926Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T01:34:59.3517927Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-11T01:34:59.3517928Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T02:04:59.8707929Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3336; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-11T02:04:59.8707930Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T02:35:00.3897931Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-11T02:35:00.3897932Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T03:05:00.9097933Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-11T03:05:00.9097934Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T03:35:01.4287935Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-11T03:35:01.4287936Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T04:05:01.9477937Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3339; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-11T04:05:01.9477938Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T04:35:02.4667939Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-11T04:35:02.4667940Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T05:05:02.9857941Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3339; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-11T05:05:02.9857942Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T05:35:03.5047943Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-11T05:35:03.5047944Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T06:05:04.0237945Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-11T06:05:04.0237946Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T06:35:04.5437947Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-11T06:35:04.5437948Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T07:05:05.0627949Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3339; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-11T07:05:05.0627950Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-11T07:35:05.5817951Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-11T07:35:05.5817952Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
