2016-03-09T00:04:07.9567729Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T00:04:07.9567730Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T00:34:08.4757731Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3359; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T00:34:08.4757732Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T01:04:08.9947733Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3367; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46408]
2016-03-09T01:04:08.9947734Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T01:34:09.5137735Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T01:34:09.5137736Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T02:04:10.0327737Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3367; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T02:04:10.0327738Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T02:34:10.5517739Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T02:34:10.5517740Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T03:04:11.0717741Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T03:04:11.0717742Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T03:34:11.5907743Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T03:34:11.5907744Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T04:04:12.1097745Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46408]
2016-03-09T04:04:12.1097746Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T04:34:12.6287747Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-09T04:34:12.6287748Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T05:04:13.1477749Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T05:04:13.1477750Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T05:34:13.6667751Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T05:34:13.6667752Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T06:04:14.1857753Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T06:04:14.1857754Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T06:34:14.7057755Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T06:34:14.7057756Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T07:04:15.2247757Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T07:04:15.2247758Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T07:34:15.7437759Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3369; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46408]
2016-03-09T07:34:15.7437760Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T08:04:16.2627761Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T08:04:16.2627762Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T08:34:16.7817763Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3370; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T08:34:16.7817764Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T09:04:17.3007765Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T09:04:17.3007766Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T09:34:17.8197767Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3371; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T09:34:17.8197768Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T10:04:18.3397769Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T10:04:18.3397770Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T10:34:18.8587771Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3341; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46420]
2016-03-09T10:34:18.8587772Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-09T11:04:19.3777773Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30945/60.6%"; freeRamMB=3341; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-09T11:04:19.3777774Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
