2016-03-03T12:30:44.5617202Z	Type=Start           	ID=29902   	[esdxgateway] started. Details: [ 
2016-03-03T12:30:44.5617202Z	Type=Start           	ID=29902   	  GatewayWebService => disabled 
2016-03-03T12:30:44.5617202Z	Type=Start           	ID=29902   	  GatewayListener (4.50.14617.0) => started 
2016-03-03T12:30:44.5617202Z	Type=Start           	ID=29902   	  GatewayScheduler (4.50.14617.0) => started 
2016-03-03T12:30:44.5617202Z	Type=Start           	ID=29902   	]
2016-03-03T12:31:51.4047203Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=19; freeC="30962/60.6%"; freeRamMB=3496; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=45752]
2016-03-03T12:31:51.4047204Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-03T13:01:51.9257205Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=9; freeC="30959/60.6%"; freeRamMB=3311; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46304]
2016-03-03T13:01:51.9257206Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-03T13:31:52.4497207Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30949/60.6%"; freeRamMB=3363; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46180]
2016-03-03T13:31:52.4497208Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-03T14:01:52.9787209Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30948/60.6%"; freeRamMB=3368; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46304]
