2016-03-16T00:07:02.3898401Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30929/60.5%"; freeRamMB=3339; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46452]
2016-03-16T00:07:02.3898402Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-16T00:37:02.9088403Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30929/60.5%"; freeRamMB=3338; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46448]
2016-03-16T00:37:02.9088404Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-16T01:07:03.4278405Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30929/60.5%"; freeRamMB=3338; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46452]
2016-03-16T01:07:03.4278406Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-16T01:37:03.9468407Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30929/60.5%"; freeRamMB=3341; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46452]
2016-03-16T01:37:03.9468408Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-16T02:07:04.4658409Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30928/60.5%"; freeRamMB=3334; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46452]
2016-03-16T02:07:04.4658410Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-16T02:37:04.9848411Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30928/60.5%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46448]
